Fecha,Hora,SO2,NO,NO2,PM10,"PM2,5",O3,Año
2004-01-01 00:00:00,1,12.2,4.5,4.3,,,,2004
2004-01-01 00:00:00,2,9.9,3.6,7.2,,,,2004
2004-01-01 00:00:00,3,9.3,4.4,6.3,,,,2004
2004-01-01 00:00:00,4,8.6,5.2,3.0,,,,2004
2004-01-01 00:00:00,5,8.4,4.7,4.5,,,,2004
2004-01-01 00:00:00,6,7.8,4.4,4.8,,,,2004
2004-01-01 00:00:00,7,7.9,4.6,4.4,,,,2004
2004-01-01 00:00:00,8,7.0,4.5,5.2,,,,2004
2004-01-01 00:00:00,9,8.4,4.8,5.6,,,,2004
2004-01-01 00:00:00,10,9.4,3.7,6.9,,,,2004
2004-01-01 00:00:00,11,10.6,5.6,3.2,,,,2004
2004-01-01 00:00:00,12,11.4,4.5,6.9,,,,2004
2004-01-01 00:00:00,13,12.9,4.6,6.2,,,,2004
2004-01-01 00:00:00,14,14.0,4.3,6.6,,,,2004
2004-01-01 00:00:00,15,14.6,4.5,4.0,,,,2004
2004-01-01 00:00:00,16,14.7,5.1,6.4,,,,2004
2004-01-01 00:00:00,17,14.4,4.3,5.1,,,,2004
2004-01-01 00:00:00,18,15.2,4.3,5.2,,,,2004
2004-01-01 00:00:00,19,17.0,4.0,9.0,,,,2004
2004-01-01 00:00:00,20,,4.5,10.5,,,,2004
2004-01-01 00:00:00,21,15.3,4.6,7.3,,,,2004
2004-01-01 00:00:00,22,14.8,5.4,4.7,,,,2004
2004-01-01 00:00:00,23,15.7,4.8,6.6,,,,2004
2004-01-01 00:00:00,24,14.2,4.6,5.5,,,,2004
2004-01-02 00:00:00,1,12.4,4.6,4.6,,,,2004
2004-01-02 00:00:00,2,12.1,5.1,5.3,,,,2004
2004-01-02 00:00:00,3,10.8,4.3,5.2,,,,2004
2004-01-02 00:00:00,4,11.3,4.1,5.2,,,,2004
2004-01-02 00:00:00,5,11.4,4.2,5.9,,,,2004
2004-01-02 00:00:00,6,11.3,4.7,4.8,,,,2004
2004-01-02 00:00:00,7,12.2,4.7,5.2,,,,2004
2004-01-02 00:00:00,8,10.8,5.0,4.8,,,,2004
2004-01-02 00:00:00,9,13.5,5.3,7.6,,,,2004
2004-01-02 00:00:00,10,14.9,4.2,6.1,,,,2004
2004-01-02 00:00:00,12,6.8,3.1,9.9,,,,2004
2004-01-02 00:00:00,13,,4.7,8.8,,,,2004
2004-01-02 00:00:00,14,,4.3,8.8,,,,2004
2004-01-02 00:00:00,15,,4.5,12.1,,,,2004
2004-01-02 00:00:00,16,10.8,4.3,9.3,,,,2004
2004-01-02 00:00:00,17,13.4,4.5,8.0,,,,2004
2004-01-02 00:00:00,18,12.2,4.0,9.3,,,,2004
2004-01-02 00:00:00,19,10.5,4.2,10.1,,,,2004
2004-01-02 00:00:00,20,11.3,4.5,11.4,,,,2004
2004-01-02 00:00:00,21,10.8,4.2,11.3,,,,2004
2004-01-02 00:00:00,22,13.1,4.6,9.1,,,,2004
2004-01-02 00:00:00,23,11.4,4.2,7.5,,,,2004
2004-01-02 00:00:00,24,10.3,4.3,7.2,,,,2004
2004-01-03 00:00:00,1,8.7,4.4,5.0,,,,2004
2004-01-03 00:00:00,2,8.6,4.0,7.5,,,,2004
2004-01-03 00:00:00,3,7.3,3.8,8.2,,,,2004
2004-01-03 00:00:00,4,7.1,4.4,5.9,,,,2004
2004-01-03 00:00:00,5,6.9,3.5,7.0,,,,2004
2004-01-03 00:00:00,6,6.8,4.0,5.7,,,,2004
2004-01-03 00:00:00,7,6.8,4.6,4.6,,,,2004
2004-01-03 00:00:00,8,7.2,4.1,6.7,,,,2004
2004-01-03 00:00:00,9,7.8,4.6,5.9,,,,2004
2004-01-03 00:00:00,10,7.9,5.0,4.7,,,,2004
2004-01-03 00:00:00,11,8.4,4.7,6.4,,,,2004
2004-01-03 00:00:00,12,10.1,3.7,7.9,,,,2004
2004-01-03 00:00:00,13,11.1,5.6,4.6,,,,2004
2004-01-03 00:00:00,14,11.9,5.7,3.8,,,,2004
2004-01-03 00:00:00,15,12.1,4.2,6.8,,,,2004
2004-01-03 00:00:00,16,10.3,4.9,5.3,,,,2004
2004-01-03 00:00:00,17,10.1,4.7,8.4,,,,2004
2004-01-03 00:00:00,18,9.2,4.3,6.4,,,,2004
2004-01-03 00:00:00,19,11.9,4.3,5.7,,,,2004
2004-01-03 00:00:00,20,12.4,4.3,6.3,,,,2004
2004-01-03 00:00:00,21,12.0,5.3,3.4,,,,2004
2004-01-03 00:00:00,22,12.2,4.3,6.1,,,,2004
2004-01-03 00:00:00,23,12.1,4.5,5.6,,,,2004
2004-01-03 00:00:00,24,10.5,4.2,5.1,,,,2004
2004-01-04 00:00:00,1,9.7,4.1,5.9,,,,2004
2004-01-04 00:00:00,2,8.6,5.2,4.3,,,,2004
2004-01-04 00:00:00,3,7.4,3.8,4.6,,,,2004
2004-01-04 00:00:00,4,6.4,4.7,5.7,,,,2004
2004-01-04 00:00:00,5,6.3,4.3,5.6,,,,2004
2004-01-04 00:00:00,6,6.4,5.9,3.0,,,,2004
2004-01-04 00:00:00,7,6.4,4.5,4.7,,,,2004
2004-01-04 00:00:00,8,6.7,4.8,4.3,,,,2004
2004-01-04 00:00:00,9,6.2,5.4,3.4,,,,2004
2004-01-04 00:00:00,10,7.8,4.6,4.2,,,,2004
2004-01-04 00:00:00,11,9.4,4.3,5.5,,,,2004
2004-01-04 00:00:00,12,10.7,4.5,4.8,,,,2004
2004-01-04 00:00:00,13,11.8,4.6,4.7,,,,2004
2004-01-04 00:00:00,14,10.1,5.9,2.4,,,,2004
2004-01-04 00:00:00,15,8.8,3.9,8.2,,,,2004
2004-01-04 00:00:00,16,7.2,3.9,6.9,,,,2004
2004-01-04 00:00:00,17,7.2,4.6,6.0,,,,2004
2004-01-04 00:00:00,18,6.7,4.1,7.2,,,,2004
2004-01-04 00:00:00,19,7.1,4.5,6.1,,,,2004
2004-01-04 00:00:00,20,7.9,4.3,5.7,,,,2004
2004-01-04 00:00:00,21,8.8,4.7,5.3,,,,2004
2004-01-04 00:00:00,22,9.7,4.5,6.3,,,,2004
2004-01-04 00:00:00,23,10.1,4.8,4.7,,,,2004
2004-01-04 00:00:00,24,8.8,4.7,5.2,,,,2004
2004-01-05 00:00:00,1,7.3,4.5,5.0,,,,2004
2004-01-05 00:00:00,2,6.0,4.4,4.8,,,,2004
2004-01-05 00:00:00,3,5.0,4.6,4.3,,,,2004
2004-01-05 00:00:00,4,3.7,4.7,4.1,,,,2004
2004-01-05 00:00:00,5,3.6,4.7,4.3,,,,2004
2004-01-05 00:00:00,6,3.4,4.6,4.4,,,,2004
2004-01-05 00:00:00,7,4.5,4.5,5.5,,,,2004
2004-01-05 00:00:00,8,5.2,4.6,6.8,,,,2004
2004-01-05 00:00:00,9,5.7,4.6,6.8,,,,2004
2004-01-05 00:00:00,10,5.7,4.4,9.1,,,,2004
2004-01-05 00:00:00,11,7.9,4.8,10.8,,,,2004
2004-01-05 00:00:00,12,8.4,5.1,10.7,,,,2004
2004-01-05 00:00:00,13,8.8,4.7,8.5,,,,2004
2004-01-05 00:00:00,14,9.4,4.7,9.9,,,,2004
2004-01-05 00:00:00,15,11.1,4.5,8.0,,,,2004
2004-01-05 00:00:00,16,8.4,4.2,8.8,,,,2004
2004-01-05 00:00:00,17,7.4,4.1,6.0,,,,2004
2004-01-05 00:00:00,18,7.9,4.2,6.3,,,,2004
2004-01-05 00:00:00,19,8.6,3.9,8.2,,,,2004
2004-01-05 00:00:00,20,8.6,4.3,9.2,,,,2004
2004-01-05 00:00:00,21,8.3,4.1,6.6,,,,2004
2004-01-05 00:00:00,22,8.7,4.2,5.4,,,,2004
2004-01-05 00:00:00,23,8.4,4.2,5.1,,,,2004
2004-01-05 00:00:00,24,9.0,4.4,4.9,,,,2004
2004-01-06 00:00:00,1,8.9,4.1,5.3,,,,2004
2004-01-06 00:00:00,2,6.4,4.1,4.3,,,,2004
2004-01-06 00:00:00,3,5.9,4.2,4.3,,,,2004
2004-01-06 00:00:00,4,5.6,4.3,4.6,,,,2004
2004-01-06 00:00:00,5,4.7,4.7,4.8,,,,2004
2004-01-06 00:00:00,6,4.1,3.9,5.9,,,,2004
2004-01-06 00:00:00,7,5.3,4.3,5.4,,,,2004
2004-01-06 00:00:00,8,5.6,3.9,5.7,,,,2004
2004-01-06 00:00:00,9,5.3,4.6,5.2,,,,2004
2004-01-06 00:00:00,10,5.1,4.6,4.3,,,,2004
2004-01-06 00:00:00,11,6.9,5.2,3.8,,,,2004
2004-01-06 00:00:00,12,6.6,6.6,9.9,,,,2004
2004-01-06 00:00:00,13,6.8,5.2,9.0,,,,2004
2004-01-06 00:00:00,14,7.8,4.9,6.1,,,,2004
2004-01-06 00:00:00,15,7.1,3.9,4.6,,,,2004
2004-01-06 00:00:00,16,6.7,4.0,4.4,,,,2004
2004-01-06 00:00:00,17,4.8,4.2,6.2,,,,2004
2004-01-06 00:00:00,18,4.7,5.3,17.8,,,,2004
2004-01-06 00:00:00,19,6.3,5.1,8.9,,,,2004
2004-01-06 00:00:00,20,8.3,3.7,7.9,,,,2004
2004-01-06 00:00:00,21,8.5,4.4,5.9,,,,2004
2004-01-06 00:00:00,22,7.4,4.2,8.4,,,,2004
2004-01-06 00:00:00,23,7.3,4.3,8.4,,,,2004
2004-01-06 00:00:00,24,6.3,4.1,9.6,,,,2004
2004-01-07 00:00:00,1,4.3,4.3,6.4,,,,2004
2004-01-07 00:00:00,2,3.8,4.7,6.4,,,,2004
2004-01-07 00:00:00,3,3.2,4.0,6.2,,,,2004
2004-01-07 00:00:00,4,3.3,4.2,5.6,,,,2004
2004-01-07 00:00:00,5,2.4,4.6,5.1,,,,2004
